Household_income,Social-circle_income,Mean_population_income,Social-circle_inequality,Population_inequality,Fairness_satisfaction,Redistribution_support
30000,34980,45105,8.315608919,24.27901563,4,4
30000,29310,70290,17.42579324,20.14596671,2,4.5
30000,55170,35400,40.98259924,27.93220339,5,5.25
30000,78570,59790,41.04887362,43.61615655,4,3.25
30000,39000,58695,19.30769231,41.65065167,3,4.75
30000,59850,48180,31.52882206,29.69863014,2.5,4.75
31000,53100,60945,35.3559322,32.67265567,4,5
32000,67095,78075,26.16342499,23.14409222,1,4
32000,22575,46065,25.03986711,26.7694562,3.5,5
35000,33225,66285,31.0496614,40.67775515,3,4.75
35000,27750,42240,21.56216216,33.72301136,5,4.25
35000,49950,97530,14.2972973,29.30052292,3.5,4
35000,37950,43725,24.64822134,38.45111492,1,6
35000,42225,67875,12.85435169,46.49834254,1,5.75
35000,25740,49395,22.58391608,43.58001822,1,5.75
35000,43800,77085,32.20205479,30.54777194,2.5,4.75
36000,38400,64185,34.6953125,40.03622342,3.5,4
37000,94725,58710,32.89548694,26.79867144,8,1
37000,75825,73530,36.18298714,31.62627499,1,4.75
37000,40575,40305,33.95009242,35.39523632,2.5,1.5
38000,60450,59130,16.66253102,42.78843227,3.5,4.75
38000,36645,46380,20.23291036,32.80142303,3,4.75
38000,25200,69960,10.78571429,56.17495712,4,3.75
38000,45495,66015,39.49192219,36.42785731,2,4.25
39000,47400,64560,23.2278481,29.45167286,5,4.5
40000,54075,71565,40.39805825,30.15489415,5,2.75
40000,139860,65520,28.5982411,43.40979853,1,6
40000,41580,55395,30.74386724,35.93799079,1,4.75
40000,29475,45600,32.55216285,30.97039474,1,5
40000,43200,66795,28.32291667,37.90006737,6,3.25
40000,40590,112455,17.18551367,32.24583167,2.5,4.25
40000,27690,56925,17.65113759,33.79841897,2,4.75
40000,27450,74400,21.83606557,42.57056452,5.5,2.5
40000,51345,70950,5.214431785,35.95983087,2.5,4
40000,46050,68295,29.23127036,32.35207555,5,4.5
40000,32250,38175,12.58139535,37.88801572,5,4.25
40000,35850,27180,31.9707113,31.09933775,1,4.75
40000,29355,48885,23.52938171,27.86590979,1,5
40000,52140,55605,20.34925201,36.02023199,3,4.25
40000,94050,46275,35.15948963,33.3273906,3,4.25
40000,99000,72150,26.58333333,36.92307692,9,1
40000,62415,53700,26.46455179,37.94692737,2.5,4.25
40000,95115,45750,25.10786942,20.83934426,4.5,3.5
40000,53475,54090,23.19074334,35.45590682,1,4.75
40000,48150,43230,10.77570093,34.1054823,3,4.25
40000,28500,51570,18.42631579,42.25247237,3,4.25
40000,51225,69150,33.09370425,41.0845987,8,5.5
40000,44865,54630,33.37646272,42.29324547,2,4.5
40000,39195,72990,20.35170302,32.02507193,1,4.25
42000,51060,44835,22.36780259,30.50016728,4,3.25
42000,27900,48660,21.46236559,48.00863132,6,1.25
43000,33315,47730,19.78793336,38.76241358,5,3.75
44000,139785,41325,21.50498981,38.25589837,3,5.5
44000,71595,78615,29.68342761,30.46346117,3,4.75
45000,44895,64800,13.67824925,41.31944444,6.5,4.5
45000,65550,108915,23.58581236,30.25464812,5,2.75
45000,38295,73500,35.04857031,24.26326531,1,5.25
45000,50100,65175,16.31137725,35.92980437,2,4.5
45000,38100,29865,22.27165354,24.43445505,1,4.5
45000,33825,46875,22.23281596,41.1664,1,6
45000,41535,60975,17.95774648,44.81549815,2.5,4
45000,30105,68100,29.69955157,37.03303965,1,5.75
45900,30045,64245,30.79830255,37.67662853,1,5.25
46000,12000,42525,2,56.54144621,1,5.25
47000,39000,64425,22.93076923,33.37252619,2.5,4.5
48000,88440,41685,40.9165536,41.54192155,3,5.25
48000,49785,68910,23.29466707,35.66390945,1,3.5
48000,33300,31125,11.72072072,36.65783133,2,5
49000,54300,86730,5.182320442,28.78104462,4,3
50000,67890,56790,35.19973487,51.60697306,6.5,3
50000,51855,50775,30.75122939,23.11225997,5.5,3.25
50000,76200,90315,18.47637795,32.64557382,3,3
50000,23355,39150,30.00449583,48.35632184,1,4.75
50000,74040,75840,14.39100486,42.59968354,6.5,2.5
50000,74145,64380,39.74893789,40.2054986,2.5,5.25
50000,31980,15360,41.98499062,16.875,3,3.5
50000,111750,84600,21.53020134,33.55141844,8,1.5
50000,47850,66540,15.67711599,31.74797115,1,4.75
50000,60015,65025,40.58460385,33.35986159,4.5,3.75
50000,16200,14520,17.55555556,15.19008264,4,3.25
50000,75300,60300,39.4123506,37.78109453,3,4.5
51000,51675,64065,29.47024673,32.7438539,3,3.75
51000,46500,57375,25.87096774,38.21568627,3,5
52000,55800,52425,33.55376344,38.50786838,3,3.75
55000,57345,42660,23.5754643,34.56751055,1.5,4.75
55000,59370,78585,13.42698332,34.62206528,5,3.75
55000,91500,57705,29.04918033,42.13075123,2,5.25
56000,40650,20850,9.594095941,24.23741007,5,4
56000,58500,69960,17.25641026,36.23499142,5,4.75
58000,60870,60630,25.58008871,33.5111331,3,4.25
58000,49800,76845,24.03012048,37.65352333,9,2.25
59000,42000,51915,28.73928571,36.47760763,3,3
59000,55725,60390,18.11440108,30.11276701,3,5
60000,59850,67080,17.74185464,35.01610018,5,2.5
60000,79950,41955,12.32082552,30.92491956,2,5
60000,51645,58530,25.58205054,39.18554587,8.5,2.25
